SKU,SKU_Category,Year_Week,Weekly_Demand,Weekly_Price,Month,Price_Last_Week,Price_Delta_Pct
00GVC,1TS,2016-01-04/2016-01-10,1,17.68,1,,0.0
00GVC,1TS,2016-05-30/2016-06-05,1,17.68,6,17.68,0.0
00OK1,J4R,2016-03-07/2016-03-13,1,1.27,3,,0.0
00OK1,J4R,2016-04-04/2016-04-10,3,1.275,4,1.27,0.3937007874015664
00OK1,J4R,2016-04-11/2016-04-17,1,1.27,4,1.275,-0.3921568627450897
00OK1,J4R,2016-04-18/2016-04-24,3,1.275,4,1.27,0.3937007874015664
00OK1,J4R,2016-05-16/2016-05-22,2,1.275,5,1.275,0.0
00OK1,J4R,2016-06-13/2016-06-19,1,1.27,6,1.275,-0.3921568627450897
00OK1,J4R,2016-06-27/2016-07-03,1,1.27,7,1.27,0.0
00OK1,J4R,2016-07-04/2016-07-10,1,1.27,7,1.27,0.0
00OK1,J4R,2016-08-01/2016-08-07,1,1.27,8,1.27,0.0
00OK1,J4R,2016-08-08/2016-08-14,1,1.27,8,1.27,0.0
00OK1,J4R,2016-08-22/2016-08-28,1,1.27,8,1.27,0.0
00OK1,J4R,2016-11-28/2016-12-04,1,1.27,12,1.27,0.0
00OK1,J4R,2016-12-12/2016-12-18,1,1.27,12,1.27,0.0
0121I,XG4,2016-01-04/2016-01-10,1,2.03,1,,0.0
0121I,XG4,2016-02-01/2016-02-07,1,2.03,2,2.03,0.0
0121I,XG4,2016-02-08/2016-02-14,1,2.03,2,2.03,0.0
0121I,XG4,2016-02-15/2016-02-21,1,2.03,2,2.03,0.0
0121I,XG4,2016-02-29/2016-03-06,1,2.03,3,2.03,0.0
0121I,XG4,2016-03-07/2016-03-13,1,2.03,3,2.03,0.0
0121I,XG4,2016-03-14/2016-03-20,2,2.025,3,2.03,-0.24630541871920658
0121I,XG4,2016-04-04/2016-04-10,2,2.03,4,2.025,0.24691358024690832
0121I,XG4,2016-05-16/2016-05-22,1,2.03,5,2.03,0.0
0121I,XG4,2016-06-06/2016-06-12,2,2.03,6,2.03,0.0
0121I,XG4,2016-06-20/2016-06-26,3,2.03,6,2.03,0.0
0121I,XG4,2016-07-04/2016-07-10,2,2.03,7,2.03,0.0
0121I,XG4,2016-07-25/2016-07-31,1,2.03,7,2.03,0.0
0121I,XG4,2016-08-01/2016-08-07,1,2.03,8,2.03,0.0
0121I,XG4,2016-09-19/2016-09-25,1,2.03,9,2.03,0.0
0121I,XG4,2016-09-26/2016-10-02,1,2.03,9,2.03,0.0
0121I,XG4,2016-10-03/2016-10-09,1,2.03,10,2.03,0.0
0121I,XG4,2016-10-10/2016-10-16,1,2.03,10,2.03,0.0
0121I,XG4,2016-10-24/2016-10-30,2,2.03,10,2.03,0.0
0121I,XG4,2016-10-31/2016-11-06,1,2.03,11,2.03,0.0
0121I,XG4,2016-11-14/2016-11-20,1,2.03,11,2.03,0.0
0121I,XG4,2016-11-21/2016-11-27,1,1.94,11,2.03,-4.433497536945806
0121I,XG4,2016-11-28/2016-12-04,1,2.03,12,1.94,4.639175257731951
0121I,XG4,2016-12-12/2016-12-18,1,1.94,12,2.03,-4.433497536945806
01IEO,XVK,2016-01-04/2016-01-10,1,4.96,1,,0.0
01IEO,XVK,2016-01-11/2016-01-17,1,4.75,1,4.96,-4.233870967741934
01IEO,XVK,2016-01-25/2016-01-31,1,5.78,1,4.75,21.684210526315795
01IEO,XVK,2016-02-15/2016-02-21,2,5.305,2,5.78,-8.217993079584785
01IEO,XVK,2016-02-22/2016-02-28,1,6.2,2,5.305,16.870876531573998
01IEO,XVK,2016-03-07/2016-03-13,1,6.42,3,6.2,3.5483870967741895
01IEO,XVK,2016-03-14/2016-03-20,1,6.42,3,6.42,0.0
01IEO,XVK,2016-03-21/2016-03-27,2,6.42,3,6.42,0.0
01IEO,XVK,2016-03-28/2016-04-03,4,5.883333333333333,3,6.42,-8.359293873312572
01IEO,XVK,2016-04-04/2016-04-10,5,6.419999999999999,4,5.883333333333333,9.121813031161466
01IEO,XVK,2016-05-09/2016-05-15,1,6.42,5,6.419999999999999,1.383455482398949e-14
01IEO,XVK,2016-05-16/2016-05-22,1,6.42,5,6.42,0.0
01IEO,XVK,2016-05-23/2016-05-29,4,6.385,5,6.42,-0.5451713395638652
01IEO,XVK,2016-06-13/2016-06-19,1,6.42,6,6.385,0.5481597494126882
01IEO,XVK,2016-06-20/2016-06-26,2,6.404999999999999,6,6.42,-0.233644859813093
01IEO,XVK,2016-07-11/2016-07-17,1,6.39,7,6.404999999999999,-0.234192037470721
01IEO,XVK,2016-07-25/2016-07-31,2,6.42,7,6.39,0.46948356807512126
01IEO,XVK,2016-08-01/2016-08-07,1,6.42,8,6.42,0.0
01IEO,XVK,2016-08-15/2016-08-21,1,6.39,8,6.42,-0.4672897196261721
01IEO,XVK,2016-08-22/2016-08-28,1,6.42,8,6.39,0.46948356807512126
01IEO,XVK,2016-10-03/2016-10-09,1,6.42,10,6.42,0.0
01IEO,XVK,2016-10-10/2016-10-16,1,6.42,10,6.42,0.0
01IEO,XVK,2016-10-24/2016-10-30,1,6.42,10,6.42,0.0
01IEO,XVK,2016-11-14/2016-11-20,1,6.42,11,6.42,0.0
01IEO,XVK,2016-11-28/2016-12-04,1,6.42,11,6.42,0.0
01IEO,XVK,2016-12-05/2016-12-11,1,6.42,12,6.42,0.0
01IEO,XVK,2016-12-12/2016-12-18,2,6.42,12,6.42,0.0
01IEO,XVK,2016-12-19/2016-12-25,1,6.42,12,6.42,0.0
01IQT,Z4O,2016-02-01/2016-02-07,1,1.5,2,,0.0
01IQT,Z4O,2016-02-15/2016-02-21,1,1.5,2,1.5,0.0
01IQT,Z4O,2016-05-30/2016-06-05,1,1.19,6,1.5,-20.666666666666668
01IQT,Z4O,2016-07-04/2016-07-10,1,1.09,7,1.19,-8.403361344537805
01IQT,Z4O,2016-08-08/2016-08-14,1,1.19,8,1.09,9.17431192660549
01IQT,Z4O,2016-08-29/2016-09-04,1,1.19,8,1.19,0.0
01IQT,Z4O,2016-11-28/2016-12-04,1,1.56,12,1.19,31.092436974789926
01L05,M7X,2016-01-18/2016-01-24,2,83.82,1,,0.0
01L05,M7X,2016-01-25/2016-01-31,3,83.82,1,83.82,0.0
01L05,M7X,2016-02-01/2016-02-07,2,83.82,2,83.82,0.0
01L05,M7X,2016-02-22/2016-02-28,1,83.82,2,83.82,0.0
01L05,M7X,2016-03-21/2016-03-27,2,83.82,3,83.82,0.0
01V7M,B93,2016-01-25/2016-01-31,1,8.0,1,,0.0
01V7M,B93,2016-02-22/2016-02-28,1,8.0,2,8.0,0.0
01V7M,B93,2016-03-21/2016-03-27,1,8.0,3,8.0,0.0
01V7M,B93,2016-03-28/2016-04-03,1,6.36,4,8.0,-20.499999999999996
01V7M,B93,2016-04-04/2016-04-10,1,8.0,4,6.36,25.786163522012572
01V7M,B93,2016-04-11/2016-04-17,1,8.0,4,8.0,0.0
01V7M,B93,2016-04-18/2016-04-24,1,8.0,4,8.0,0.0
01V7M,B93,2016-04-25/2016-05-01,2,8.0,4,8.0,0.0
01V7M,B93,2016-05-02/2016-05-08,2,8.0,5,8.0,0.0
01V7M,B93,2016-05-16/2016-05-22,1,8.0,5,8.0,0.0
01V7M,B93,2016-05-23/2016-05-29,2,8.0,5,8.0,0.0
01V7M,B93,2016-06-13/2016-06-19,2,7.18,6,8.0,-10.250000000000004
01V7M,B93,2016-06-20/2016-06-26,4,7.59,6,7.18,5.7103064066852385
01V7M,B93,2016-07-04/2016-07-10,1,8.0,7,7.59,5.401844532279316
01V7M,B93,2016-07-11/2016-07-17,2,8.0,7,8.0,0.0
01V7M,B93,2016-07-18/2016-07-24,1,8.0,7,8.0,0.0
01V7M,B93,2016-07-25/2016-07-31,1,8.0,7,8.0,0.0
01V7M,B93,2016-08-01/2016-08-07,1,8.0,8,8.0,0.0
01V7M,B93,2016-08-08/2016-08-14,1,8.0,8,8.0,0.0
01V7M,B93,2016-08-15/2016-08-21,1,8.0,8,8.0,0.0
01V7M,B93,2016-08-22/2016-08-28,1,8.0,8,8.0,0.0
01V7M,B93,2016-08-29/2016-09-04,1,8.0,9,8.0,0.0
01V7M,B93,2016-09-12/2016-09-18,2,8.0,9,8.0,0.0
01V7M,B93,2016-09-19/2016-09-25,1,9.55,9,8.0,19.375000000000007
01V7M,B93,2016-09-26/2016-10-02,2,9.56,9,9.55,0.1047120418848145
01V7M,B93,2016-10-24/2016-10-30,1,9.55,10,9.56,-0.10460251046024881
01V7M,B93,2016-11-07/2016-11-13,1,8.0,11,9.55,-16.230366492146604
01V7M,B93,2016-11-14/2016-11-20,1,8.0,11,8.0,0.0
01V7M,B93,2016-11-28/2016-12-04,2,8.0,12,8.0,0.0
01V7M,B93,2016-12-12/2016-12-18,1,9.55,12,8.0,19.375000000000007
01V7M,B93,2016-12-19/2016-12-25,3,9.55,12,9.55,0.0
01V7M,B93,2016-12-26/2017-01-01,1,9.55,12,9.55,0.0
01XVY,TW8,2016-07-11/2016-07-17,1,1.46,7,,0.0
029WA,J4R,2016-06-06/2016-06-12,1,5.03,6,,0.0
029WA,J4R,2016-12-19/2016-12-25,1,5.03,12,5.03,0.0
03C6L,AEB,2016-01-04/2016-01-10,2,1.23,1,,0.0
03C6L,AEB,2016-01-11/2016-01-17,1,1.23,1,1.23,0.0
03C6L,AEB,2016-01-18/2016-01-24,1,0.92,1,1.23,-25.203252032520325
03C6L,AEB,2016-01-25/2016-01-31,1,1.23,1,0.92,33.69565217391304
03C6L,AEB,2016-02-08/2016-02-14,2,1.23,2,1.23,0.0
03C6L,AEB,2016-02-15/2016-02-21,1,1.23,2,1.23,0.0
03C6L,AEB,2016-02-22/2016-02-28,1,1.23,2,1.23,0.0
03C6L,AEB,2016-03-14/2016-03-20,3,1.23,3,1.23,0.0
03C6L,AEB,2016-03-21/2016-03-27,1,1.23,3,1.23,0.0
03C6L,AEB,2016-04-04/2016-04-10,1,1.23,4,1.23,0.0
03C6L,AEB,2016-04-25/2016-05-01,1,1.23,4,1.23,0.0
03C6L,AEB,2016-05-23/2016-05-29,2,1.23,5,1.23,0.0
03C6L,AEB,2016-06-06/2016-06-12,1,1.23,6,1.23,0.0
03C6L,AEB,2016-06-13/2016-06-19,1,1.23,6,1.23,0.0
03C6L,AEB,2016-07-04/2016-07-10,2,1.23,7,1.23,0.0
03C6L,AEB,2016-08-01/2016-08-07,1,1.23,8,1.23,0.0
03C6L,AEB,2016-08-08/2016-08-14,1,1.23,8,1.23,0.0
03C6L,AEB,2016-08-15/2016-08-21,1,1.23,8,1.23,0.0
03C6L,AEB,2016-08-22/2016-08-28,1,1.23,8,1.23,0.0
03C6L,AEB,2016-08-29/2016-09-04,1,1.23,8,1.23,0.0
03C6L,AEB,2016-09-19/2016-09-25,1,1.23,9,1.23,0.0
03C6L,AEB,2016-09-26/2016-10-02,2,1.23,9,1.23,0.0
03C6L,AEB,2016-11-14/2016-11-20,1,1.23,11,1.23,0.0
03C6L,AEB,2016-11-21/2016-11-27,1,1.23,11,1.23,0.0
03C6L,AEB,2016-12-05/2016-12-11,1,1.23,12,1.23,0.0
03C6L,AEB,2016-12-12/2016-12-18,4,1.23,12,1.23,0.0
03CPI,FEW,2016-06-20/2016-06-26,1,15.12,6,,0.0
03CPI,FEW,2016-11-28/2016-12-04,1,16.56,11,15.12,9.52380952380952
03CPI,FEW,2016-12-05/2016-12-11,1,16.56,12,16.56,0.0
03CPI,FEW,2016-12-12/2016-12-18,1,16.56,12,16.56,0.0
03CPI,FEW,2016-12-19/2016-12-25,1,16.56,12,16.56,0.0
03K3G,PZW,2016-05-30/2016-06-05,1,12.32,5,,0.0
03K3G,PZW,2016-07-11/2016-07-17,1,14.34,7,12.32,16.39610389610389
03K3G,PZW,2016-08-08/2016-08-14,2,12.92,8,14.34,-9.902370990237099
04KDD,Q4N,2016-04-18/2016-04-24,1,9.93,4,,0.0
050FN,XG4,2016-12-05/2016-12-11,1,41.43,12,,0.0
055SH,LPF,2016-01-18/2016-01-24,2,16.3,1,,0.0
055SH,LPF,2016-01-25/2016-01-31,1,16.3,1,16.3,0.0
055SH,LPF,2016-02-01/2016-02-07,1,16.3,2,16.3,0.0
055SH,LPF,2016-02-29/2016-03-06,1,16.3,3,16.3,0.0
055SH,LPF,2016-04-11/2016-04-17,1,16.3,4,16.3,0.0
055SH,LPF,2016-04-18/2016-04-24,1,16.3,4,16.3,0.0
055SH,LPF,2016-05-16/2016-05-22,2,16.3,5,16.3,0.0
055SH,LPF,2016-05-23/2016-05-29,1,16.3,5,16.3,0.0
055SH,LPF,2016-07-04/2016-07-10,1,16.3,7,16.3,0.0
055SH,LPF,2016-07-25/2016-07-31,1,16.3,7,16.3,0.0
055SH,LPF,2016-10-31/2016-11-06,2,16.3,11,16.3,0.0
055SH,LPF,2016-12-19/2016-12-25,1,16.3,12,16.3,0.0
055UG,BZU,2016-02-08/2016-02-14,1,8.04,2,,0.0
055UG,BZU,2016-02-22/2016-02-28,1,8.04,2,8.04,0.0
055UG,BZU,2016-02-29/2016-03-06,1,8.04,3,8.04,0.0
055UG,BZU,2016-03-14/2016-03-20,2,8.04,3,8.04,0.0
055UG,BZU,2016-10-10/2016-10-16,1,8.04,10,8.04,0.0
055UG,BZU,2016-12-05/2016-12-11,1,8.04,12,8.04,0.0
055UG,BZU,2016-12-19/2016-12-25,1,8.04,12,8.04,0.0
05B2E,J4R,2016-01-04/2016-01-10,1,3.04,1,,0.0
05B2E,J4R,2016-04-18/2016-04-24,1,3.04,4,3.04,0.0
05B2E,J4R,2016-05-02/2016-05-08,1,3.04,5,3.04,0.0
05B2E,J4R,2016-05-30/2016-06-05,1,3.04,6,3.04,0.0
05B2E,J4R,2016-08-08/2016-08-14,2,3.04,8,3.04,0.0
05B2E,J4R,2016-09-19/2016-09-25,1,3.04,9,3.04,0.0
05HRH,PHK,2016-03-21/2016-03-27,1,18.77,3,,0.0
05HRH,PHK,2016-04-11/2016-04-17,3,18.766666666666666,4,18.77,-0.017758835020425436
05O3Z,9ZX,2016-08-08/2016-08-14,2,23.06,8,,0.0
05O3Z,9ZX,2016-10-03/2016-10-09,1,22.92,10,23.06,-0.6071118820468214
05O3Z,9ZX,2016-10-17/2016-10-23,1,22.92,10,22.92,0.0
05O3Z,9ZX,2016-10-24/2016-10-30,2,22.92,10,22.92,0.0
05O3Z,9ZX,2016-11-14/2016-11-20,1,22.92,11,22.92,0.0
05O3Z,9ZX,2016-11-28/2016-12-04,1,22.92,12,22.92,0.0
05O3Z,9ZX,2016-12-05/2016-12-11,1,22.92,12,22.92,0.0
05O3Z,9ZX,2016-12-12/2016-12-18,1,22.92,12,22.92,0.0
05O3Z,9ZX,2016-12-19/2016-12-25,1,22.92,12,22.92,0.0
062O9,1EO,2016-01-11/2016-01-17,1,1.88,1,,0.0
062O9,1EO,2016-01-18/2016-01-24,1,1.88,1,1.88,0.0
062O9,1EO,2016-01-25/2016-01-31,1,1.88,1,1.88,0.0
062O9,1EO,2016-02-01/2016-02-07,2,1.875,2,1.88,-0.26595744680850497
062O9,1EO,2016-03-07/2016-03-13,1,1.88,3,1.875,0.266666666666661
062O9,1EO,2016-03-14/2016-03-20,1,1.88,3,1.88,0.0
062O9,1EO,2016-04-04/2016-04-10,1,1.88,4,1.88,0.0
062O9,1EO,2016-04-11/2016-04-17,1,1.88,4,1.88,0.0
062O9,1EO,2016-04-18/2016-04-24,2,1.88,4,1.88,0.0
062O9,1EO,2016-04-25/2016-05-01,1,1.88,4,1.88,0.0
062O9,1EO,2016-05-16/2016-05-22,1,1.88,5,1.88,0.0
062O9,1EO,2016-05-30/2016-06-05,1,1.88,5,1.88,0.0
062O9,1EO,2016-06-06/2016-06-12,1,1.88,6,1.88,0.0
062O9,1EO,2016-07-11/2016-07-17,1,1.88,7,1.88,0.0
062O9,1EO,2016-09-05/2016-09-11,1,1.88,9,1.88,0.0
062O9,1EO,2016-09-26/2016-10-02,1,1.88,9,1.88,0.0
062O9,1EO,2016-11-28/2016-12-04,2,1.83,11,1.88,-2.659574468085097
062O9,1EO,2016-12-05/2016-12-11,3,1.83,12,1.83,0.0
062O9,1EO,2016-12-12/2016-12-18,1,1.83,12,1.83,0.0
06KYM,DJI,2016-04-11/2016-04-17,1,3.18,4,,0.0
06KYM,DJI,2016-06-20/2016-06-26,1,4.06,6,3.18,27.67295597484275
06SMH,1L6,2016-08-15/2016-08-21,1,16.12,8,,0.0
070SU,HVP,2016-09-05/2016-09-11,1,15.43,9,,0.0
072QJ,U5F,2016-01-11/2016-01-17,1,2.62,1,,0.0
072QJ,U5F,2016-01-18/2016-01-24,1,2.62,1,2.62,0.0
072QJ,U5F,2016-02-22/2016-02-28,1,2.62,2,2.62,0.0
072QJ,U5F,2016-03-07/2016-03-13,4,2.6225,3,2.62,0.09541984732824223
072QJ,U5F,2016-03-14/2016-03-20,1,2.62,3,2.6225,-0.09532888465204754
072QJ,U5F,2016-04-11/2016-04-17,3,2.6266666666666665,4,2.62,0.2544529262086403
072QJ,U5F,2016-04-18/2016-04-24,3,2.62,4,2.6266666666666665,-0.25380710659897376
072QJ,U5F,2016-05-09/2016-05-15,3,2.62,5,2.62,0.0
072QJ,U5F,2016-05-23/2016-05-29,1,2.62,5,2.62,0.0
072QJ,U5F,2016-06-13/2016-06-19,1,2.62,6,2.62,0.0
072QJ,U5F,2016-06-20/2016-06-26,1,2.62,6,2.62,0.0
072QJ,U5F,2016-07-04/2016-07-10,2,2.62,7,2.62,0.0
072QJ,U5F,2016-08-29/2016-09-04,1,2.62,9,2.62,0.0
072QJ,U5F,2016-09-19/2016-09-25,1,2.62,9,2.62,0.0
072QJ,U5F,2016-10-03/2016-10-09,1,2.62,10,2.62,0.0
072QJ,U5F,2016-11-07/2016-11-13,1,2.62,11,2.62,0.0
072QJ,U5F,2016-11-14/2016-11-20,2,2.625,11,2.62,0.19083969465648445
072QJ,U5F,2016-12-19/2016-12-25,1,2.62,12,2.625,-0.1904761904761864
07GHA,YMJ,2016-01-04/2016-01-10,4,11.2325,1,,0.0
07GHA,YMJ,2016-01-11/2016-01-17,1,9.11,1,11.2325,-18.89606053861563
07GHA,YMJ,2016-01-25/2016-01-31,2,11.65,1,9.11,27.881448957189914
07GHA,YMJ,2016-02-01/2016-02-07,3,9.88,2,11.65,-15.193133047210297
07GHA,YMJ,2016-02-08/2016-02-14,1,9.88,2,9.88,0.0
07GHA,YMJ,2016-02-15/2016-02-21,3,9.88,2,9.88,0.0
07GHA,YMJ,2016-02-22/2016-02-28,1,9.88,2,9.88,0.0
07GHA,YMJ,2016-02-29/2016-03-06,1,11.65,3,9.88,17.914979757085014
